produto,quantidade_total_itens,unidade,valor_total,estabelecimento
REF PO TORNADO ,1.0,UN: EV,"R$ 0,58",BH
REF PO TORNADO ,1.0,UN: EV,"R$ 0,58",BH
REF PO TORNADO ,1.0,UN: EV,"R$ 0,58",BH
REF PO TORNADO ,1.0,UN: EV,"R$ 0,58",BH
PRES IMPER COZ ,0.234,UN: kg,"R$ 3,97",BH
GUARD KITCH,1.0,UN: PT,"R$ 2,20",BH
OLEO SOJ ABC 90,1.0,UN: FR,"R$ 6,30",BH
BISC KROKERO 11,1.0,UN: PT,"R$ 2,85",BH
BEB LAC BH T S ,1.0,UN: BJ,"R$ 3,49",BH
ARR TIO JOAO T1,1.0,UN: PT,"R$ 9,90",BH
CEREAL KELLOG 2,1.0,UN: PT,"R$ 9,90",BH
BEB LAC BH CH 1,1.0,UN: TP,"R$ 3,78",BH
WAFER PECC 32G,1.0,UN: DP,"R$ 2,45",BH
BISC BAUD WAF 1,1.0,UN: PT,"R$ 3,28",BH
BISC POLV KERUS,1.0,UN: PT,"R$ 3,49",BH
IOG TREV POL 54,1.0,UN: BJ,"R$ 4,38",BH
ABACATE,0.53,UN: kg,"R$ 1,90",BH
MACA NAC FUJI,0.54,UN: kg,"R$ 4,31",BH
UVA VITORIA 500,1.0,UN: BJ,"R$ 5,48",BH
MACA NAC FUJI,0.21,UN: kg,"R$ 1,68",BH
LARANJA PERA RI,0.21,UN: kg,"R$ 0,63",BH
FILE P FGO AVIV,1.0,UN: BJ,"R$ 13,80",BH
LIMAO,0.475,UN: kg,"R$ 1,42",BH
AP BARBA VICERO,1.0,UN: CT,"R$ 3,90",BH
CHEETOS ONDA 45, 1.0000,UN: UN,"R$ 3,69",Bahamas
NECTAR DEL VALL, 1.0000,UN: UN,"R$ 2,19",Bahamas
BISC WAF KROKER, 1.0000,UN: UN,"R$ 2,79",Bahamas
ALC G MARINA 50, 1.0000,UN: UN,"R$ 8,99",Bahamas
